	summarized	lineages	abundances	resid	coverage
10.11.22.ENCOCT06.R2__NA__NA__221013_WW__00X.tsv	"[('BA.5* [Omicron (BA.5.X)]', 0.8922189832560168), ('Omicron', 0.04433634400014817), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.017635405991347733), ('BA.2* [Omicron (BA.2.X)]', 0.0016888120008766235)]"	BF.10 BA.5.1 BA.5.5.1 BA.5.2.22 BF.7 BA.5.2.21 BA.5.2.6 BF.25 BA.4.6 BA.5.3.1 BF.14 BA.5.2.19 BA.5.1.5 BQ.1 BA.5.2.28 BM.1 BA.5.6.1 BA.5.1.22 BA.5 BW.1 BF.12 BA.5.1.28 BF.27 BA.5.2.30 XAN BA.5.1.26 BF.1 BF.4 BA.5.1.9 BF.13 BA.5.1.16 BQ.1.2 BK.1 BA.5.2.5 BF.16 BA.2.10.4 BA.5.2.13 BA.5.2.9 BA.5.2.10 BM.5 BA.5.2.7 BF.15 BA.5.3.2 BA.5.1.15 BL.1.3 BF.11 BM.1.1.1 BF.8 BA.5.2.33 BE.2	0.11958477 0.11291251 0.09572511 0.07995850 0.07173753 0.07136092 0.06261895 0.05071060 0.04149650 0.03968710 0.02443240 0.02156380 0.02111930 0.01846959 0.01420630 0.01384277 0.01312938 0.01138060 0.00690798 0.00663772 0.00546848 0.00357748 0.00316839 0.00298083 0.00283984 0.00253271 0.00249994 0.00235997 0.00229471 0.00201727 0.00188079 0.00186978 0.00178329 0.00173812 0.00172835 0.00168881 0.00166538 0.00160929 0.00158262 0.00152783 0.00130795 0.00130067 0.00123762 0.00118527 0.00117543 0.00113049 0.00108938 0.00105801 0.00105796 0.00104055	9.453551774	99.33785908
10.11.22.ENCOCT11.R2__NA__NA__221013_WW__00X.tsv	"[('BA.5* [Omicron (BA.5.X)]', 0.9720799251172154)]"	BA.5.3 BA.5.2.21 BA.5.1.3 BA.5.2 BA.5.3.1 BA.5.5 BA.5.1 BF.7 BA.5.2.9 BA.5.1.9 BA.5.5.1 BF.4 BF.11 BA.5.3.2 BA.5.1.11 BE.2 BA.5.5.2 BA.5.6 BA.5.2.27 CC.1 BA.5.2.20 BA.5.1.16 BA.5.2.16 BA.5.1.12 CD.1	0.16170099 0.15482384 0.13727900 0.12915925 0.12670371 0.09105111 0.08335720 0.03946988 0.01839320 0.00395480 0.00307378 0.00298359 0.00276382 0.00177800 0.00175234 0.00174794 0.00167038 0.00162415 0.00157114 0.00156574 0.00125597 0.00112735 0.00111951 0.00109895 0.00105430	11.53549556	97.618968
10.13.22.PLOCT09.R2__NA__NA__221013_WW__00X.tsv	"[('BA.5* [Omicron (BA.5.X)]', 0.9276794110940594), ('Omicron', 0.016429028627406514), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.0061350616364091535), ('BA.2* [Omicron (BA.2.X)]', 0.001504650000805118)]"	BA.5.2.1 BA.5.1 BA.5.2.6 BF.2 BE.1.1 BA.5.9 BA.5 BA.5.2.21 BA.5.1.6 BK.1 BF.17 BQ.1 BF.1 BA.5.1.23 BA.5.1.22 BF.10 BQ.1.1 BA.4.6 BF.7 BA.5.1.1 BF.25 BA.5.2.9 BE.1.2 BF.3 CB.1 BA.5.2.24 BF.16 BA.5.2 BA.5.1.26 BF.4 XAV BA.5.1.28 BF.27 BE.1.1.2 BA.5.1.9 BA.5.1.11 BA.5.5.3 BF.5 BA.5.2.8 BA.5.5.2 BA.5.1.27 BA.5.2.14 BA.4.1.10 XBB BQ.1.2 XAN BF.19 BA.5.1.2 BA.5.1.16 BA.5.1.15 BU.1 BA.5.2.33 BA.5.2.16 BA.4.4 BA.4.1.3 BL.1.1 BA.4.5 XAZ BF.9 BF.13 BA.5.2.5 BA.5.2.32 BA.5.2.27 BL.1.3 BF.26 BW.1	0.50076107 0.06544213 0.04827410 0.03542223 0.02552056 0.02331520 0.02142962 0.01951909 0.01673830 0.01432347 0.01361000 0.01359199 0.01153548 0.00959898 0.00843014 0.00809173 0.00763399 0.00648050 0.00591044 0.00522506 0.00491429 0.00470667 0.00458616 0.00431125 0.00389365 0.00364080 0.00356362 0.00333200 0.00302814 0.00293358 0.00230032 0.00215238 0.00211416 0.00199148 0.00197775 0.00189240 0.00179069 0.00176783 0.00172791 0.00169268 0.00159791 0.00151252 0.00151172 0.00150465 0.00144886 0.00141019 0.00137417 0.00134670 0.00133745 0.00128231 0.00127768 0.00123896 0.00118808 0.00118687 0.00118662 0.00118658 0.00118061 0.00117220 0.00116057 0.00109515 0.00109170 0.00109110 0.00106758 0.00105483 0.00104877 0.00102254	9.561590203	99.29772932
10.13.22.PLOCT10.R2__NA__NA__221013_WW__00X.tsv	"[('BA.5* [Omicron (BA.5.X)]', 0.9070095695373974), ('Omicron', 0.028439064975296118), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.017886449925692625), ('BA.2* [Omicron (BA.2.X)]', 0.002272666513223702)]"	BA.5.2.6 BF.10 BF.7 BF.11 BA.5.2.21 BA.5.1.1 BF.12 BF.3 BQ.1.1 BA.5.2.18 BA.5 BA.5.1.18 BE.1.2 BA.5.2.19 BA.4.6 BY.1 BA.5.1.7 BA.5.6.1 BA.5.1.12 BF.1 BA.5.1.22 BE.1.1.1 BF.23 BF.5 BA.4.1.1 BA.5.1.28 BF.16 BA.5.1.26 BA.5.2.16 BF.21 BA.4.1.10 BA.5.1.24 BA.5.1.21 BL.1.3 BF.13 BA.5.2.13 BA.5.2.5 XAA BA.4.1.3 BA.4.1.8 BF.27 BA.5.1.27 BA.5.1.11 BA.5.2.20 BU.1 BF.14 BE.2 BF.17 BA.5.1.9 XBB BA.2.10.4 BE.4.1.1 BA.5.2.7 BF.26 BA.5.1.6 XY CE.1	0.16096525 0.11953486 0.09835598 0.08641820 0.06374910 0.06007873 0.03892937 0.03426037 0.03271800 0.02939102 0.02223358 0.02084330 0.01898474 0.01823885 0.01717852 0.01606507 0.01512317 0.01394016 0.00914739 0.00640337 0.00507763 0.00439269 0.00421063 0.00379464 0.00368043 0.00364742 0.00320114 0.00305366 0.00281081 0.00221181 0.00211491 0.00189251 0.00184254 0.00182138 0.00179019 0.00172836 0.00164609 0.00157638 0.00145518 0.00141261 0.00131176 0.00130512 0.00126568 0.00125839 0.00125612 0.00118049 0.00117180 0.00116328 0.00114855 0.00114293 0.00112974 0.00110314 0.00108728 0.00106985 0.00105317 0.00102103 0.00101937	10.14031472	99.19740494
10.13.22.PLOCT11.R2__NA__NA__221013_WW__00X.tsv	"[('BA.5* [Omicron (BA.5.X)]', 0.8798263833826203), ('Omicron', 0.07062969541070889), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.0012261799911942937), ('BA.2* [Omicron (BA.2.X)]', 0.001201050014771084)]"	BF.7 BQ.1.1 BA.5.1 BA.5.2.6 BA.5.2.21 BE.1.1 BA.4.4 BA.5.3.3 BA.5.1.23 BA.5.2.19 BF.10 BA.5 BA.5.1.25 BA.5.6 BA.5.2.4 XAS BE.1.1.1 BA.4.6 BA.5.5 BA.5.6.1 BA.5.2.20 BF.25 BA.5.3.2 BA.5.1.10 BA.5.2.13 BA.5.2.32 BF.5 BA.4.1.8 BA.5.1.26 BA.5.1.8 BA.5.1.9 BA.5.1.18 BF.16 BF.13 BA.4.1.1 BA.5.1.28 BF.4 CE.1 XAJ BA.5.1.15 BA.4.3 BU.1 BA.5.2.9 BE.1.3 BA.5.2.7 BF.11 BF.17 BA.5.1.16 BL.1.1 XBB BA.4.1.9 BF.27 XJ BA.5.2.14 BA.5.1.11 BF.19 BE.1.2 BA.5.1.3 BA.5.1.27 XAZ BE.2	0.22861061 0.07889990 0.07792943 0.06715304 0.06322921 0.05888791 0.03127146 0.02860230 0.02855250 0.02817662 0.02647082 0.02234108 0.01846600 0.01817380 0.01816864 0.01669463 0.01334800 0.01084776 0.01011822 0.00974350 0.00851935 0.00844716 0.00685387 0.00579499 0.00450504 0.00398783 0.00333248 0.00303951 0.00301136 0.00291128 0.00278054 0.00257400 0.00232706 0.00219820 0.00211238 0.00210058 0.00187056 0.00186209 0.00169728 0.00162955 0.00158891 0.00153687 0.00140030 0.00138462 0.00136132 0.00135942 0.00128256 0.00126388 0.00122618 0.00120105 0.00120066 0.00116473 0.00115168 0.00113317 0.00110631 0.00108970 0.00108330 0.00104157 0.00103779 0.00102543 0.00100334	9.700767018	98.96665886
10.13.22.PLOCT12.R2__NA__NA__221013_WW__00X.tsv	"[('BA.5* [Omicron (BA.5.X)]', 0.8709410636694035), ('Omicron', 0.059932309118088244), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.02169707236712674), ('BA.2* [Omicron (BA.2.X)]', 0.003366760000843011), ('Other', 0.0017400289987172816)]"	BF.7 BA.5.1 BA.5.2.6 BA.5.1.1 BQ.1.1 BA.5.2.21 BE.1.1 BA.4.6 BA.5 BF.26 BF.14 BN.1 BF.25 BF.5 BF.17 BA.5.2.16 BA.4.8 BA.5.6.1 BF.10 BQ.1.2 BA.5.2.4 BA.5.2.3 BF.20 BA.5.5.3 BF.3 XAN BA.5.2.1 BF.11 BA.5.2.8 BA.5.2.9 BU.1 BA.5.5 BA.4.4 BA.5.1.28 BA.5.1.26 CC.1 BA.5.2.32 BA.5.2.24 BA.5.1.9 BF.16 CA.2 BK.1 BA.2.21 BF.13 BA.5.2.7 BA.4.3 BA.5.2.13 BF.19 XBB.1 BA.5.5.1 BA.5.2.14 BA.4.1.3 BF.27 BA.5.1.16 BA.5.1.15 BA.5.2.30 CE.1 XBB BA.5.2.22 BA.5.2.20 BA.5.10.1 XAZ BA.5.5.2 CD.1 BE.2	0.15784924 0.08780413 0.08332234 0.07577750 0.07101446 0.05125955 0.04050226 0.02906896 0.02827676 0.02296810 0.02023520 0.01917269 0.01873579 0.01500071 0.01438340 0.01298745 0.01273048 0.01141150 0.01129050 0.01105380 0.01082782 0.01049720 0.00989782 0.00966696 0.00923942 0.00891573 0.00852541 0.00695034 0.00566114 0.00541373 0.00537535 0.00496930 0.00455776 0.00381485 0.00372751 0.00361664 0.00292846 0.00289137 0.00270660 0.00257581 0.00252438 0.00229885 0.00215054 0.00207273 0.00204383 0.00195898 0.00191472 0.00185290 0.00174003 0.00172380 0.00171163 0.00155630 0.00150466 0.00150445 0.00146643 0.00145461 0.00133309 0.00121622 0.00120337 0.00119924 0.00115022 0.00114410 0.00114074 0.00111507 0.00109230	8.821050616	98.61217938
10.13.22.SBOCT09.R2__NA__NA__221013_WW__00X.tsv	"[('BA.5* [Omicron (BA.5.X)]', 0.9238891643473089), ('Omicron', 0.04455367599450225)]"	BA.5.2.6 BA.5.2.24 BE.1 BA.5.1.1 BA.5.2.21 BA.5.5 BA.5.2 BA.4.6 BQ.1.1 BA.5.3.1 BA.5.6 BF.4 BA.5.1.26 BA.5.1.28 BA.5.2.9 BA.4.6.1 BA.5.2.7 BA.5.1.2 BA.5.1.27 BA.5.5.3 BA.5.2.13 BE.2 BF.26 BW.1 BF.11 BV.2 BU.1 BA.5.1.3	0.31421700 0.21048918 0.10200128 0.07476044 0.06135609 0.05115835 0.04956708 0.04214766 0.01234560 0.00961537 0.00671306 0.00394867 0.00323229 0.00317693 0.00262414 0.00240602 0.00226008 0.00200535 0.00191632 0.00179462 0.00162973 0.00147260 0.00146771 0.00132714 0.00130959 0.00119082 0.00118191 0.00112782	9.508697262	99.13052202
10.13.22.SBOCT10.R2__NA__NA__221013_WW__00X.tsv	"[('BA.5* [Omicron (BA.5.X)]', 0.96394842098579)]"	BA.5.1.2 BQ.1.1 BA.5.2.21 BA.5.2 BA.5.6.1 BA.5.2.6 BE.1 BE.1.1 BA.5.2.9 BF.7 BA.5.2.23 BA.5.1.1 BA.5.5.3 BE.1.1.2 BA.5.2.10 BA.5.2.16 BA.5.3.2 BA.5.2.13 BF.4 BA.5.9 BA.5.1.3 BA.5.1.9 BF.16 BQ.1.2 BA.5.2.29 BA.5 BA.5.2.20	0.39410000 0.19599505 0.09757360 0.07696485 0.04410447 0.03284874 0.02890747 0.02849839 0.01532360 0.01063561 0.00779076 0.00548271 0.00331034 0.00279261 0.00225330 0.00212673 0.00205956 0.00198085 0.00163043 0.00156169 0.00127968 0.00121605 0.00120773 0.00112985 0.00107095 0.00105662 0.00104677	6.822478539	98.55867304
10.18.22.ENC14.R1__NA__NA__221020_WW__00X.tsv	"[('BA.5* [Omicron (BA.5.X)]', 0.8324252675099955), ('Omicron', 0.089067164094054), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.020688895986914393), ('BA.2* [Omicron (BA.2.X)]', 0.009835640006566095)]"	BQ.1.1 BA.5.2.21 BA.5.5 BA.5.1.12 BA.5.2.1 BF.14 BF.7 BV.2 BE.1.2 BA.4.6 BF.25 XAS BA.5.2.18 BF.10 BA.5.10 BA.5.1.10 BF.3 BA.5.2.20 BE.2 BA.4.8 CB.1 BA.5 BA.5.1.27 BA.4.7 BA.5.6 BA.5.2.9 XBB BA.5.1.5 BE.1.1.1 BE.1 BA.5.1.28 BA.5.2.23 BA.4.1.3 BA.2.75.1 BW.1 BF.1 BA.4.3 CC.1 BF.16 BA.5.1.21 BF.5 BF.19 BA.5.1.9 BA.5.2.33 BF.17 BE.1.1.2 BL.1.3 BA.5.1.16 BA.4.1.1 BQ.1.2 BA.5.2.5 BA.5.1.7 BF.11 BJ.1 BA.5.1.15 BL.3 BF.4 BF.13 BA.5.2.27 BA.5.2.16 BF.26 BA.5.5.2 BA.4.4 BA.5.1.8	0.11439545 0.09424943 0.07522534 0.07027543 0.06810929 0.04019170 0.03666037 0.03307590 0.03079390 0.03077133 0.02814090 0.02283499 0.02089434 0.01958563 0.01818182 0.01796130 0.01751585 0.01499820 0.01491290 0.01471423 0.01374286 0.01346124 0.01334330 0.01078510 0.00933304 0.00868795 0.00826279 0.00591908 0.00565001 0.00552674 0.00548355 0.00430253 0.00399718 0.00366079 0.00360154 0.00333927 0.00322581 0.00318091 0.00279153 0.00230962 0.00229020 0.00218545 0.00200095 0.00197256 0.00182108 0.00180808 0.00177818 0.00171926 0.00168079 0.00166369 0.00165857 0.00164169 0.00161458 0.00157285 0.00150858 0.00150706 0.00139470 0.00129950 0.00129239 0.00123050 0.00110429 0.00108264 0.00105774 0.00103850	10.37832535	98.81617229
10.18.22.ENC17.R1__NA__NA__221020_WW__00X.tsv	"[('BA.5* [Omicron (BA.5.X)]', 0.8634888158445125), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.0454773222730808), ('Omicron', 0.04252949697499883), ('BA.2* [Omicron (BA.2.X)]', 0.0027322090011709876)]"	BA.5.1 BA.5.3.1 BE.1.1.1 BA.5.2.1 BF.7 BA.5.2.6 BA.5.2.21 BQ.1.1 BF.14 BA.4.6 BE.1 BA.5.1.23 BE.1.1 BA.5.1.12 BN.1 BY.1 BA.5.2.9 BA.5.5 BM.1.1.1 BA.5.2.13 BF.24 BQ.1.3 BA.5.6 BA.5.1.21 BF.13 BA.5.1.26 BA.5.1.28 BF.16 BF.5 BA.5.5.2 BA.4.1.3 BA.5.3.2 BA.5.2.20 BF.10 BA.4.1.10 BF.4 BL.1.3 BA.5.1.9 BA.5.1.11 BA.4.3 BA.5.1.16 BE.2 BA.5.2.27 BE.1.2 BA.5.2.5 BA.5.1.15 BA.4.1.1 BK.1 BA.5.1.27 BA.5.2.29 XBB BA.2.10.4 BA.5.2.7 BF.11 BF.19 BU.1 BA.5.2.33 BA.5.5.3 BA.5.1.25 BA.4.1.8 BF.26 BA.5.1.2	0.13518905 0.08590786 0.07855665 0.06938520 0.06526899 0.06212743 0.05974024 0.05187250 0.03636940 0.03380890 0.03206311 0.02462340 0.02383405 0.01749405 0.01695460 0.01641229 0.01433350 0.01091906 0.01019430 0.01000130 0.00813439 0.00702477 0.00653408 0.00644402 0.00535114 0.00404722 0.00341736 0.00284314 0.00268366 0.00246204 0.00244167 0.00240783 0.00232649 0.00212592 0.00200803 0.00198413 0.00191613 0.00185061 0.00174723 0.00172265 0.00167478 0.00163416 0.00160610 0.00152974 0.00147592 0.00146804 0.00146431 0.00143830 0.00142334 0.00141621 0.00140681 0.00132540 0.00129964 0.00128928 0.00127714 0.00124146 0.00120947 0.00119958 0.00113895 0.00108394 0.00104866 0.00104822	10.38748793	99.25091128
10.20.22.PL16.R1__NA__NA__221020_WW__00X.tsv	"[('BA.5* [Omicron (BA.5.X)]', 0.8560693836427623), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.05325544640364397), ('Omicron', 0.03628752125919955), ('BA.2* [Omicron (BA.2.X)]', 0.00431660890386465)]"	BF.7 BA.5.3.1 BF.26 BE.1.1.2 BQ.1 BN.1 BF.11 BA.5.1.3 BA.4.6 BA.5.2.9 BF.21 BK.1 BA.5.2.20 BF.14 BQ.1.1 BF.5 BA.5.1.7 BA.5.1.22 BA.5.2.18 BQ.1.3 BA.5.2.6 BA.5.2.33 BA.5.2.13 BE.2 BA.5.2.2 BY.1 BA.5.6.1 BA.5.6.2 BM.1.1.1 BF.10 BE.1.1.1 BA.5.1.28 BQ.1.2 CC.1 BA.4.1.8 BA.5.2.32 BA.5.1.9 BA.5.10.1 BE.1.2 BA.2.44 BA.5 BF.3.1 BA.5.1.27 BA.4.1.1 BA.4.1.10 XAC BA.5.2.5 BA.2.10.4 BA.2.2.1 BA.5.2.27 BA.4.1.3 CD.1 BA.4.4 BA.5.2.10 BW.1 BA.5.1.6 CG.1	0.17036425 0.12117557 0.06804660 0.04309368 0.04064458 0.03843050 0.03556160 0.03203435 0.02734311 0.02716570 0.02524330 0.02500130 0.02405392 0.02289870 0.01971110 0.01881228 0.01845490 0.01760770 0.01629775 0.01538750 0.01410419 0.01408520 0.01239240 0.01089880 0.00928998 0.00920457 0.00892857 0.00778637 0.00562038 0.00422752 0.00359625 0.00356351 0.00239601 0.00229482 0.00216920 0.00215232 0.00210526 0.00195312 0.00186314 0.00177286 0.00174001 0.00155521 0.00149361 0.00148475 0.00147856 0.00142957 0.00137665 0.00127943 0.00126432 0.00126040 0.00122385 0.00119778 0.00115849 0.00111324 0.00108136 0.00105588 0.00100301	11.40248114	99.25425543
10.20.22.PL17.R1__NA__NA__221020_WW__00X.tsv	"[('BA.5* [Omicron (BA.5.X)]', 0.7930040168632434), ('Omicron', 0.1473631050585803), ('BA.2.75* [Omicron (BA.2.75.X)]', 0.00919566739723216), ('BA.2* [Omicron (BA.2.X)]', 0.00398499000012718), ('A', 0.0010515129995589919)]"	BE.1.1.1 BA.5.2.9 BA.5.1 XAJ BE.1.1 BF.7 BQ.1 XAS BF.2 BQ.1.1 BF.14 BF.10 BA.5.2.20 BA.5.1.27 BA.5.5 BA.5.1.23 BA.4.6 BA.5 BE.3 BA.5.1.26 BA.2.75.6 BA.5.1.28 BA.5.5.1 BF.4 BA.5.10.1 BA.4.1.9 BK.1 BQ.1.2 BF.16 BF.13 BA.5.2.13 CC.1 BA.5.2.18 BE.2 CA.2 BA.4.4 BA.5.1.16 BA.5.6.1 BA.4.1.1 XBB BA.4.1.3 BL.1.1 BA.5.2.10 BA.4.7 XAA BF.11 BA.2.82 BF.26 BA.5.1.6 BA.2.66 BA.5.1.7 A.27 BA.5.2.2 BA.5.2.33	0.10699600 0.10084700 0.09209886 0.07223467 0.06146096 0.06119399 0.05611593 0.05343783 0.04495806 0.04300880 0.04139280 0.03503040 0.02688967 0.02415050 0.01666495 0.01178850 0.01159570 0.01048260 0.00689391 0.00659898 0.00594875 0.00554675 0.00503525 0.00356379 0.00304284 0.00276563 0.00268010 0.00245668 0.00239107 0.00227079 0.00225734 0.00198784 0.00197799 0.00186642 0.00184937 0.00168836 0.00156946 0.00155446 0.00154923 0.00154363 0.00147125 0.00139754 0.00137188 0.00132844 0.00129199 0.00125446 0.00124875 0.00122624 0.00122367 0.00119261 0.00109890 0.00105151 0.00103294 0.00102324	11.06077805	99.26763201
10.20.22.PL18.R1__NA__NA__221020_WW__00X.tsv	"[('BA.5* [Omicron (BA.5.X)]', 0.9710648609963677)]"	BQ.1.1 BF.7 BE.1 BA.5.2.9 BA.5.1 BA.5.1.5 BF.4 BA.5.1.28 BA.5.1.26 BF.12 BA.5.1.9 BA.5.1.12 BA.5.1.10 BA.5.1.16 BA.5.1.7 BF.26 BA.5.2.5 BE.1.3 BF.11	0.57768245 0.14589352 0.11135207 0.06781679 0.02865463 0.01066970 0.00417101 0.00349650 0.00277884 0.00271377 0.00259740 0.00233137 0.00231228 0.00185452 0.00167247 0.00155844 0.00132363 0.00109505 0.00109043	11.10888023	98.39480989
10.20.22.PL19.R1__NA__NA__221020_WW__00X.tsv	"[('BA.5* [Omicron (BA.5.X)]', 0.8189175366105776), ('Omicron', 0.1393621624580563)]"	BQ.1.1 BA.5.6.1 BE.1.1.1 BA.5.1.1 BA.4.6 BA.5.2.21 BF.7 BA.4.1.9 BA.5 XAS BA.5.1.3 BA.5.2.18 BA.5.1.5 BA.5.1.28 BF.4 BA.5.1.11 BA.5.1.26 BA.5.1.16 BA.4 BA.5.2.20 BA.4.1.1 BA.5.1.15 BA.4.1.10 BA.5.1.12 BF.16 BF.11 BA.4.1.8 BA.5.2.33 BE.2 BA.5.1.7 BA.5.2.9 XR BF.10 BA.5.1.27 BA.5.2.7 BA.5.1.9 BK.1	0.31577603 0.11720249 0.10955393 0.07699300 0.05814179 0.05474978 0.04946464 0.04201566 0.03349779 0.02875277 0.00964243 0.00667749 0.00519630 0.00417101 0.00357622 0.00357462 0.00348189 0.00340564 0.00314822 0.00267401 0.00237823 0.00235202 0.00193424 0.00191926 0.00181402 0.00167945 0.00164204 0.00154710 0.00154512 0.00142628 0.00141924 0.00134922 0.00120130 0.00118718 0.00112435 0.00104877 0.00101616	10.10359968	98.32458282
10.20.22.SB13.R1__NA__NA__221020_WW__00X.tsv	"[('BA.5* [Omicron (BA.5.X)]', 0.895718009336186), ('Omicron', 0.07006409999223791)]"	BA.5 BA.5.2.1 BQ.1 BA.4.6 BF.10 BA.5.2.9 BF.2 BF.7 BA.5.5 BA.5.1.5 BA.5.2.21 BA.5.1.26 BA.5.1.12 BF.11 BF.16 CC.1 BA.5.1.28 BF.7.1 BF.15 BQ.1.2 BA.5.2.5 BA.5.2.16 BA.5.1.16 BA.5.1.2 BF.27 BA.5.3.2 BW.1 BF.8 BA.5.1.7 BF.9 BE.2 BA.5.1.15 BA.5.2.25 BA.5.5.2 BF.22 BA.5.1.6 BA.5.1.27	0.20489111 0.13178351 0.10676158 0.07006410 0.06792810 0.06695960 0.06553936 0.05848063 0.05821068 0.03710474 0.03430016 0.01041670 0.00613524 0.00535012 0.00425843 0.00351391 0.00288184 0.00268577 0.00247525 0.00236676 0.00190718 0.00184949 0.00184542 0.00180505 0.00151745 0.00150933 0.00150820 0.00134228 0.00129870 0.00125628 0.00119841 0.00118624 0.00115359 0.00108932 0.00108225 0.00107219 0.00105312	11.66740643	99.09373641
10.20.22.SB19.R1__NA__NA__221020_WW__00X.tsv	"[('BA.5* [Omicron (BA.5.X)]', 0.9607793451931151), ('Omicron', 0.0034888399895464614)]"	BA.5.1 BA.5.2 BA.5.2.24 BA.5.2.2 BF.14 BE.1.1.1 BF.10 BQ.1.1 BA.5.2.4 BE.1.2 BF.21 BA.5.3.1 BA.5.1.26 BA.5.1.11 BA.5.1.9 BF.13 BA.5.1.10 BA.5.1.16 XAV BA.5.2.23 BA.5.3.2 BQ.1.2 BA.5.2.10 BA.5.2.18 BF.4 BF.11 BE.2 BA.5.2.25 XAT BA.5.2.9 BA.5.1.23	0.19593591 0.15735545 0.15192822 0.08005851 0.07454266 0.07344302 0.07142220 0.04503050 0.03793021 0.01705412 0.01361050 0.00810760 0.00381194 0.00347113 0.00261438 0.00260125 0.00255908 0.00251396 0.00222402 0.00199667 0.00185223 0.00184298 0.00168765 0.00155426 0.00154679 0.00151597 0.00136866 0.00135851 0.00126482 0.00106377 0.00100120	10.14090841	99.03019764
9.13.22.ENCSEP07.R1__NA__NA__220915_WW__00X.tsv	"[('BA.5* [Omicron (BA.5.X)]', 0.9500877626915946), ('Omicron', 0.014607875168384384)]"	BA.5.2.1 BA.5.1.24 BA.5.2.30 BA.5.1.6 BF.14 BA.5.1 BA.5.2.21 BF.10 BE.1.1 BF.25 BA.5.1.10 BA.5.3.1 BA.5.6 BE.1.1.2 BA.5.2.18 BA.5.2.6 BF.3 BA.5.1.3 BA.5.3 BA.4.3 BA.4.7 BA.5.1.26 BF.4 BA.5.2.13 BF.16 BF.13 CC.1 BA.4.1.3 BA.5.1.28 BA.5 BA.4.1.5 BF.5 BA.5.2.9 BA.5.3.2 BA.5.1.9 BA.5.2.5 BA.5.5.2 BF.7.1 BA.4.1.1 BA.5.1.16 BA.5.10.1 BA.5.2.23 BE.2 BA.5.5.3 BA.5.2.16 BA.5.1.11 BA.5.2.20	0.15394577 0.12644274 0.07978271 0.07199960 0.06490220 0.06169036 0.05641094 0.04017110 0.03951090 0.03401520 0.02734130 0.02640464 0.02638465 0.02472036 0.02410026 0.01786657 0.01560656 0.01520180 0.00532774 0.00528614 0.00413786 0.00282674 0.00266714 0.00258918 0.00256644 0.00226586 0.00223694 0.00218500 0.00212314 0.00190570 0.00178958 0.00167247 0.00166187 0.00165851 0.00159236 0.00137174 0.00126636 0.00126111 0.00120930 0.00112116 0.00110355 0.00108853 0.00108284 0.00107604 0.00107533 0.00102835 0.00102102	9.743777684	99.28435274
9.13.22.ENCSEP12.R1__NA__NA__220915_WW__00X.tsv	"[('BA.5* [Omicron (BA.5.X)]', 0.9704026996123634)]"	BA.5.2 BA.5.2.21 BA.5.1.25 BE.1.1 BA.5.2.9 BA.5.1 BW.1 BA.5.6.2 BA.5.1.23 BA.5.3.2 BF.7 BA.5.1.26 BA.5.2.30 BF.16 BA.5.2.7 BA.5.1.28 BA.5.2.13 BF.11 BF.3 BA.5.2.33 BF.22 BA.5.1.16 BA.5.2.16 BF.10 BA.5.10.1 BF.27 BF.19 BF.25 BA.5.9	0.44619777 0.20586468 0.15706700 0.09826525 0.01431870 0.00726937 0.00370750 0.00366743 0.00355872 0.00235557 0.00203138 0.00202122 0.00194590 0.00186296 0.00178754 0.00168067 0.00148487 0.00145474 0.00142580 0.00141526 0.00136283 0.00134522 0.00132818 0.00130719 0.00121046 0.00117312 0.00110855 0.00110619 0.00107864	10.94552319	97.88315554
